Date Announced (dateann),Unique DEAL ID (master_deal_no),Target Name (tmanames),Acquiror Name (amanames),Acquiror is a Financial Sponsor (Yes/No Flag) (afinancial),Acquiror is a Leverage Buyout Firm (albofirm),Acquiror is a Limited Partnership Flag (alp),Deal Attitude (attitude),Deals is a Divestiture Flag (divest),Division (division),Form of transaction (form),Percentage of consideration paid in cash (pct_cash),Percentage of consideration paid in other then cash or stock (p,Percentage of consideration paid in stock (pct_stk),Percentage of consideration which is unknown (pct_unknown),Percentage of Shares Sought (psought),Percentage of Shares Acquiror is Seeking to Own After Transacti,Related Deals Flag (rd),Deal is a Repurchase Flag (repurch),Source of Funds Borrowing Flag (sfbor),Source of Funds Common Stock Issue Flag (sfcom),Financing via Internal Corporate Funds Flag (sfcorp),Financing via Debt Securities Flag (sfdebt),Financing via Line of Credit Flag (sflc),Deal Status (status),Ranking Value incl Net Debt of Target (USD Mil) (rankval),TR Acquiror Industry Description (atf_mid_desc),TR Target Industry Description (ttf_mid_desc),TR Acquiror Macro Description (atf_macro_desc),TR Target Macro Description (ttf_macro_desc),Acquiror Nation (anation),Acquiror Nation Code (anationcode),Target Nation (tnation),Target Nation Code (tnationcode),Target Public Status (tpublic),Acquiror Public Status (apublic),deal_value,Enterprise Value ($mil) (entval),Equity Value ($mil) (eqval),Price Per Share (pr),Target Sales LTM ($mil) (salesltm),Target EBIT LTM ($mil) (ebitltm),Target Pre-Tax Income LTM ($mil) (ptincltm),Target Net Income LTM ($mil) (niltm),Target Net Assets ($mil) (netass),Target Total Assets ($mil) (tass),Target Cash Flow LTM ($mil) (cashflow),Target Book Value ($mil) (bookvalue),Target Common Equity ($mil) (commonequity),Target Earnings Per Share ($mil) (epsltm),Target Closing Stock Price 1 day Prior to Deal Announcement Day,Target Closing Stock Price 1 week Prior to Deal Announcement Da,Target Closing Stock Price 4 weeks Prior to Deal Announcement D,Consideration Offered (considoff),Consideration Sought (considsought),Vix,Interest rates,GDP growth,Healthcare growth,Covid19 
05.01.2022,4044743020,West Pharmaceutical Svcs Inc,West Pharmaceutical Svcs Inc,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,0.9,0.9,No,Yes,No,No,No,No,No,1,278.85,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,United States,US,Public,Public,278.85,,,,2831.6,757.2,748.9,660.4,2335.4,3313.8,879.5,31.5,2335.4,8.8763,429,467.99,435.51,Cash Only,Common Stock,22.5,4.25,2.1,4.5,0
04.08.2014,2661185020,Symmetry Medical Inc,Tecomet Inc,No,No,No,Friendly,No,No,Merger,100,0,0,0,100,100,Yes,No,No,No,No,No,Yes,0,436.461,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,United States,US,Public,Sub.,281.607,436.925,282.072,7.5,397.332,27.292,-55.9,-42,281.6,514.1,51.133,7.5,281.638,-1.0428,8.81,8.81,9.49,"Cash, Cash","Common Stock, Option",16.6,0.25,2.5,5.5,0
27.04.2015,2747357040,Diagnosticos da America SA,Cromossomo Participacoes II SA,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,27.8,100,No,No,No,No,No,No,No,0,287.05,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Brazil,BR,Brazil,BR,Public,Priv.,287.05,1936.279,1021.885,3.6,2429.43,181.775,92.5,51.8,2772.2,5055.5,334.355,8.9,2771.26,0.1658,3.322,2.99447991,2.88324218,"Cash Only, Cash Only",Ordinary Share,16.9,0.25,3.1,5.5,0
13.05.2021,3739712040,Shanghai Kehua Bio-Engineering,Sansure Biotech Inc,No,No,No,Neutral,No,No,Acq. Part. Int.,0,0,0,100,18.6,18.6,No,No,Yes,No,Yes,No,No,1,302.017,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,China,CH,China,CH,Public,Public,302.017,1419.358,1622.616,,773.112,294.339,288.3,243.5,675.3,981.3,313.491,1,530.323,0.2913,2.683,2.714,2.554,"Cash Only, Cash Only",Ordinary Share,17.2,0.25,5.7,3.9,0
21.02.2022,3896413040,Sonic Healthcare Ltd,Sonic Healthcare Ltd,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,2.6,2.6,No,Yes,No,No,Yes,No,No,0,305.003,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Australia,AU,Australia,AU,Public,Public,305.003,13572.334,11769.749,,6590.932,1550.112,1490.5,1094.6,5221.9,9049,2029.354,10.7,5121.101,2.2229,26.97,26.726,27.803,Cash Only,Ordinary Share,22.5,4.25,2.1,4.5,0
20.04.2021,3809421040,Mercator Medical SA,Mercator Medical SA,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,5.9,5.9,No,No,No,No,Yes,No,No,0,311.9,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Poland,PL,Poland,PL,Public,Public,311.9,,5302.262,500,553.356,333.053,333.2,304.6,333.3,418.5,337.801,31.3,332.353,28.9677,,,,Cash Only,Ordinary Share,17.2,0.25,5.7,3.9,0
18.04.2014,2629977040,Lepu Med Tech (Beijing) Co Ltd,Investor Group,No,No,No,Neutral,No,No,Acq. Part. Int.,0,0,0,100,14.6,14.6,No,No,No,No,No,No,No,0,314.994,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,China,CH,Public,Priv.,314.994,2057.946,2173.556,2.66,220.882,66.036,70.2,59.4,480.9,523.4,75.616,0.6,469.967,0.0718,0,0,3.484,"Cash Only, Cash Only",Ordinary Share,16.6,0.25,2.5,5.5,0
06.07.2021,3767626040,Beijing Wandong Med Tech Co,Midea Group Co Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,23.1,45.5,No,No,Yes,No,Yes,No,No,0,319.067,Machinery,Healthcare Equipment & Supplies,Industrials,Healthcare,China,CH,China,CH,Public,Public,319.067,889.544,1054.891,1.97,173.855,35.443,37.2,30.4,383.4,440.7,40.55,0.7,368.465,0.057,2.479,2.587,2.425,"Cash Only, Cash Only",Newly Issued Ord Sh,17.2,0.25,5.7,3.9,0
21.03.2018,3226794040,Microlife Corp,Mande Invest Co Ltd,No,No,No,Friendly,No,No,Merger,100,0,0,0,100,100,No,No,No,No,No,No,No,0,227.246,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Taiwan,TW,Taiwan,TW,Public,J.V.,319.743,227.882,320.638,2.91,189.288,27.069,24.3,18.7,121.2,184.6,29.357,1.1,121.151,0.1699,2.466,2.36,2.351,"Cash, Cash Only",Ordinary Share,15.5,2.5,2.9,4.4,0
07.03.2022,3855737040,Body Friend Co Ltd,Investor Group,No,No,No,Neutral,No,No,Acq. Part. Int.,0,0,0,100,46.3,46.3,No,No,No,No,No,No,No,0,336.769,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Priv.,Priv.,336.769,905.84,745.42,,497.755,57.682,62.2,48.7,426,833.5,,,269.961,,,,,Cash Only,Stock,22.5,4.25,2.1,4.5,0
22.07.2024,4263502040,Stemmer Imaging GmbH,Blitz 24-884 AG,No,No,No,Friendly,No,No,Merger,100,0,0,0,100,100,No,No,No,No,No,No,No,0,311.4,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Germany,WG,Germany,WG,Public,Sub.,339.362,306.705,334.246,52.21,135.231,18.836,18,12.9,72.7,101.5,24.134,11.2,72.736,1.9852,34.371,36.495,38.099,Cash Only,Ordinary Share,15.5,4.5,2.8,7,0
05.09.2018,3285162040,Dongyang Hc Co Ltd,Hugel Inc,No,No,No,Friendly,Yes,No,Merger,0,0,100,0,100,100,No,No,No,No,No,No,No,1,346.216,Biotechnology,Healthcare Equipment & Supplies,Healthcare,Healthcare,South Korea,SK,South Korea,SK,Sub.,Public,346.216,,,,0.52,-0.46,62.9,62.9,119.3,127.9,-0.256,,116.759,,,,,Newly Issued Ord Sh,Stock,15.5,2.5,2.9,4.4,0
11.11.2022,4000380040,Olympus Corp,Olympus Corp,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,1.6,1.6,No,Yes,No,No,No,No,No,0,354.736,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,354.736,24335.485,24629.442,,6716.917,1356.868,1415.7,1020.1,4618.9,10621.7,1882.648,3.7,4610.388,0.8007,21.11,20.4,20.499,Cash Only,Ordinary Share,22.5,4.25,2.1,4.5,0
03.02.2021,3693757040,Beijing Wandong Med Tech Co,Midea Group Co Ltd,No,No,No,Neutral,No,No,Acq. Part. Int.,0,0,0,100,29.1,29.1,No,No,No,No,Yes,No,No,0,355.857,Machinery,Healthcare Equipment & Supplies,Industrials,Healthcare,China,CH,China,CH,Public,Public,355.857,1040.093,1199.052,2.26,173.114,39.101,40.4,33.5,366.7,438.3,44.155,0.7,351.878,0.0625,1.579,1.499,1.63,"Cash Only, Cash Only",Ordinary Share,17.2,0.25,5.7,3.9,0
24.02.2023,4044835040,Taewoong Medical Co Ltd,Olympus Corp,No,No,No,Friendly,No,No,Acq. Maj. Int.,69.05,30.95,0,0,99.6,99.6,No,No,No,No,No,No,No,1,370,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,South Korea,SK,Priv.,Public,370,346.269,382.378,,54.349,7.801,8.5,7.4,98.8,106.9,11.471,,99.116,,,,,"Cash, Earnout","Stock, Stock",21.7,5.33,2.9,7.5,0
11.04.2014,2627950020,Zygo Corp,AMETEK Inc,No,No,No,Friendly,No,No,Merger,100,0,0,0,100,100,No,No,No,No,No,No,No,0,275.757,Other Industrials,Healthcare Equipment & Supplies,Industrials,Healthcare,United States,US,United States,US,Public,Public,372.813,277.426,374.482,19.25,127.992,13.133,13.3,8.4,195.9,230.5,17.595,10.2,193.948,0.4319,14.68,15.44,16.3,"Cash, Cash","Common Stock, Option",16.6,0.25,2.5,5.5,0
12.05.2022,3925905040,Terumo Corp,Terumo Corp,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,2,2,No,Yes,No,No,No,No,No,0,384.733,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,384.733,21163.729,26256.315,,5780.889,958.935,941.2,730,8320.8,12113.2,1442.898,11,8320.837,0.9654,29.194,29.983,30.669,Cash Only,Ordinary Share,22.5,4.25,2.1,4.5,0
09.02.2017,3070402040,Terumo Corp,Terumo Corp,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,3,3,No,Yes,No,No,No,No,No,0,395.415,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,395.415,13200.801,12486.18,35.95,4307.842,654.542,481.1,333.1,4628.5,9102.6,1029.972,12.7,4627.292,0.9198,36.394,36.298,37.369,"Cash Only, Cash Only",Ordinary Share,11,1.5,2.4,4.6,0
31.05.2024,4257025040,Synlab AG,Ephios Bidco GmbH,No,No,No,Friendly,No,No,Acq. Rem. Int.,100,0,0,0,15,100,No,No,No,No,No,No,No,0,396.014,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Germany,WG,Germany,WG,Public,Sub.,396.014,3974.375,2630.586,12.01,2822.599,154.623,150.6,97.1,2558,5080.5,470.247,11.6,2560.011,0.4317,11.46,11.279,11.274,Cash Only,Ordinary Share,15.5,4.5,2.8,7,0
27.02.2015,2728421040,Optos PLC,Nikon Corp,No,No,No,Friendly,No,No,Merger,100,0,0,0,100,100,No,No,No,No,Yes,No,No,0,405.914,Electronics,Healthcare Equipment & Supplies,High Technology,Healthcare,Japan,JP,United Kingdom,UK,Public,Public,398.762,425.582,418.056,5.24,102.006,9.844,7.4,5.1,83.6,134.3,15.34,1.2,83.58,0.0709,4.014,3.988,3.785,"Cash, Cash","Ordinary Share, Option",16.9,0.25,3.1,5.5,0
08.08.2022,3959200020,Cyberoptics Corp,Nordson Corp,No,No,No,Friendly,No,No,Merger,100,0,0,0,100,100,No,No,No,No,No,No,No,0,380.092,Chemicals,Healthcare Equipment & Supplies,Materials,Healthcare,United States,US,United States,US,Public,Public,400.762,379.685,400.355,54,101.653,17.891,18.1,16.2,87.1,107.6,20.306,11.7,87.055,2.197,41.1,40.1,33.7,Cash Only,Common Stock,22.5,4.25,2.1,4.5,0
26.10.2021,3963607020,Masimo Corp,Masimo Corp,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,5.4,5.4,No,Yes,No,No,Yes,No,No,0,401,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,United States,US,Public,Public,401,6728.945,7381.299,,1206.629,263.306,264.4,232,1468.1,1766.8,297.855,26.6,1468.149,4.2107,285.47,280.99,271.85,Cash Only,Common Stock,17.2,0.25,5.7,3.9,0
04.02.2016,2928400040,Terumo Corp,Terumo Corp,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,3.4,3.4,No,Yes,No,No,No,No,No,0,423.85,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,423.85,12526.405,12231.892,,4341.847,654.25,640.5,403.1,4915.6,8163.6,1018.725,13.1,4914.496,1.0692,32.509,30.48,31.078,"Cash Only, Cash Only",Ordinary Share,14,0.75,1.6,4.8,0
17.02.2014,2610467020,Chindex International Inc,Investor Group,No,No,No,Friendly,No,No,Merger,97.76,2.24,0,0,100,100,No,No,No,No,No,No,No,0,443.902,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,United States,US,United States,US,Public,Priv.,442.96,448.606,447.664,24,49.885,1.833,-1.9,-3.5,162.9,241.6,5.075,8.9,162.944,-0.1987,17.15,15.98,16.72,"Cash, Cash, Cash, Cash, Cash","Common Stock Type A, Common Stock Type B, Option, Common Stock Type A, Common Stock Type B",16.6,0.25,2.5,5.5,0
28.05.2015,2762199040,bioMerieux SA,bioMerieux SA,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,10,10,No,Yes,No,No,No,No,No,1,449.893,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,France,FR,France,FR,Public,Public,449.893,5263.993,4962.081,114.04,2055.179,245.402,226.9,164,1680.3,3122.6,387.343,42.4,1670.862,4.1381,113.359,110.72,107.808,"Cash Only, Cash Only",Ordinary Share,16.9,0.25,3.1,5.5,0
27.06.2019,3422034040,Blue Earth Diagnostics Ltd,Bracco Imaging SpA,No,No,No,Friendly,Yes,No,Merger,0,0,0,100,100,100,No,No,No,No,No,No,No,0,461.51,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Italy,IT,United Kingdom,UK,Sub.,Sub.,450,473.877,462.059,,76.226,21.012,17.5,19.3,-17.9,52.7,21.336,,-17.891,,,,,"Cash Only, Cash Only",Stock,13.8,1.75,2.3,4.6,0
30.06.2022,3943552040,Instituto Hermes Pardini SA,Fleury SA,No,No,No,Friendly,No,No,Merger,11.22,0,88.78,0,100,100,No,No,No,No,No,No,No,0,564.043,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Brazil,BR,Brazil,BR,Public,Public,485.11,599.982,513.673,3.7,432.7,81.412,66.5,48.1,194.8,501.4,108.076,1.5,194.479,0.3796,3.242,3.45,4.529,"Cash, Newly Issued Ord Sh","Ordinary Share, Ordinary Share",22.5,4.25,2.1,4.5,0
09.06.2023,4091039040,Lutronic Corp,Hahn & Co Twenty-Three Co Ltd,No,No,No,Friendly,No,No,Acq. Maj. Int.,100,0,0,0,81.1,81.1,Yes,No,No,No,No,No,No,0,488.075,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Sub.,488.075,535.177,732.718,28.33,206.502,41.313,46.5,35.2,123.7,175.1,46.848,4.8,123.347,1.3758,24.547,21.747,18.474,"Cash, Cash","Ordinary Share, Convert. Preferred",21.7,5.33,2.9,7.5,0
18.08.2020,3622803040,Dirui Industrial Co Ltd,Investor Group,No,No,No,Friendly,Yes,No,Acq. Maj. Int.,0,0,0,100,53.8,53.8,No,No,Yes,No,Yes,No,No,0,489.848,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,China,CH,Public,Priv.,489.848,844.469,885.405,3.3,138.719,37.291,39.5,34.9,226.4,303.9,47.17,0.8,215.505,0.1106,3.976,3.809,3.864,"Cash Only, Cash Only",Ordinary Share,26.9,0.25,-3.4,9.7,1
10.09.2018,3287010040,Ansell Ltd,Ansell Ltd,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,20,20,No,Yes,No,No,No,No,No,0,502.892,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Australia,AU,Australia,AU,Public,Public,502.892,2591.303,11528.008,,1489.8,193.1,145.3,121.9,1550.2,2522.5,232.099,10.8,1534.6,0.8352,17.673,18.078,20.22,"Cash Only, Cash Only",Ordinary Share,15.5,2.5,2.9,4.4,0
18.06.2015,2764726040,Lumenis Ltd,XIO Group,No,No,No,Neutral,No,No,Merger,100,0,0,0,100,100,No,No,No,No,No,No,Yes,0,449.63,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,United Kingdom,UK,Israel,IS,Public,Priv.,504.319,439.797,493.364,14,289.719,21.216,14.6,12.7,100.5,277.7,28.21,2.8,100.512,0.3637,11.712,11.785,11.613,"Cash Only, Cash Only",Ordinary Share,16.9,0.25,3.1,5.5,0
17.11.2014,2713419040,Sonova Holding AG,Sonova Holding AG,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,No,No,No,0,518.296,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Switzerland,SZ,Switzerland,SZ,Public,Public,518.296,18770.723,19090.894,,2088.121,433.439,425.6,374.2,1959.7,2747.4,520.488,28.7,1928.998,5.4574,153.365,153.647,146.569,"Cash Only, Cash Only",Ordinary Share,16.6,0.25,2.5,5.5,0
09.11.2023,4155081040,Olympus Corp,Olympus Corp,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,3.1,3.1,No,Yes,No,No,No,No,No,0,529.905,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,529.905,17985.198,18500.411,,6494.343,1078.697,538.4,282.6,5316.1,10407.5,1529.307,4.5,5316.05,0.2242,13.516,2032.5,0,Cash Only,Ordinary Share,21.7,5.33,2.9,7.5,0
27.01.2022,3867556040,Classys Inc,BCPE Centur Investments LP,No,No,No,Friendly,No,No,Acq. Maj. Int.,0,0,0,100,60.9,60.9,No,No,No,No,No,No,No,0,559.658,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Sub.,559.658,915.922,926.114,14.2,84.68,43.531,46.8,36.9,137.8,182.1,45.6,2.1,137.837,0.5698,13.325,13.795,15.807,Cash Only,Ordinary Share,22.5,4.25,2.1,4.5,0
24.02.2020,3539484020,Medpace Inc,Medpace Inc,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,No,No,No,0,610,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,United States,US,Sub.,Sub.,610,12161.236,12244.079,,1213.359,215.219,218.7,199.9,605,1344.3,236.356,18,605.016,5.6055,,,,"Cash, Cash, Cash, Cash, Cash, Cash","Common Stock, Common Stock, Common Stock, Common Stock, Common Stock, Common Stock",26.9,0.25,-3.4,9.7,1
14.10.2015,2811793040,Hunan China Sun Pharm Mach Co,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,21.3,21.3,No,No,No,No,No,No,No,1,614.66,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,China,CH,Public,Priv.,614.66,2358.541,2254.852,6.25,109.161,30.69,29.8,23.1,164.1,405.4,34.959,0.4,155.071,0.0963,7.528,7.511,7.495,"Cash Only, Cash Only",Newly Issued Ord Sh,16.9,0.25,3.1,5.5,0
18.11.2019,3478282040,Consort Medical PLC,Recipharm Holdings Ltd,No,No,No,Friendly,No,No,Merger,100,0,0,0,100,100,No,No,Yes,No,No,No,No,0,768.753,Pharmaceuticals,Healthcare Equipment & Supplies,Healthcare,Healthcare,United Kingdom,UK,United Kingdom,UK,Public,Sub.,643.117,776.594,649.672,13.03,397.576,39.875,16.3,13.7,310.4,606.7,71.931,6.3,310.398,0.279,9.365,9.356,9.822,"Cash Only, Cash Only",Ordinary Share,13.8,1.75,2.3,4.6,0
10.05.2024,4232855040,Olympus Corp,Olympus Corp,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,5.1,5.1,No,Yes,No,No,No,No,No,0,643.252,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,643.252,13322.027,21034.883,,6778.965,1163.09,735.4,610.8,4895.5,9515.7,1623.59,4.3,4895.502,0.5148,14.679,14.685,14.089,Cash Only,Ordinary Share,15.5,4.5,2.8,7,0
28.11.2017,3191638020,Bio-Rad Laboratories Inc,Bio-Rad Laboratories Inc,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,No,No,No,0,650,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,United States,US,Public,Public,650,,,,2870.979,523.926,-2609.7,-1942.4,8922.6,12682.1,655.926,300.5,8922.597,-65.0408,261.47,255.68,219.79,"Cash, Cash, Cash","Common Stock Type A, Common Stock Type A, Common Stock Type A",11,1.5,2.4,4.6,0
18.11.2021,3833194040,Skan Group AG,Lloyd Fonds AG,No,No,No,Friendly,No,No,Merger,97.29,2.71,0,0,100,100,No,No,No,No,No,No,No,0,627.905,Asset Management,Healthcare Equipment & Supplies,Financials,Healthcare,Germany,WG,Switzerland,SZ,Public,Public,696.226,686.768,755.334,71.88,110.317,9.995,12,10.1,108.6,316.9,13.279,5.8,60.666,0.346,95.13,87.977,0,"Cash, Earnout","Ordinary Share, Ordinary Share",17.2,0.25,5.7,3.9,0
26.11.2021,3837767040,Ginko International Co Ltd,Glamor Vision Ltd,No,No,No,Friendly,No,No,Merger,100,0,0,0,71.6,100,No,No,Yes,No,Yes,No,No,0,699.782,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Taiwan,TW,Taiwan,TW,Public,Priv.,699.782,975.853,975.853,10.08,316.961,47.387,50.6,41.4,416.5,818,78.992,4.3,416.499,0.4264,7.268,6.676,7.242,Cash Only,Ordinary Share,17.2,0.25,5.7,3.9,0
23.10.2017,3166762020,Exactech Inc,TPG Capital Management LP,Yes,Yes,Yes,Friendly,No,No,Merger,100,0,0,0,100,100,No,No,No,No,No,No,No,0,737.12,Alternative Financial Investments,Healthcare Equipment & Supplies,Financials,Healthcare,United States,US,United States,US,Public,Sub.,734.838,737.975,735.693,49.25,264.445,23.039,7.3,0.5,250.3,307.2,43.176,17.4,250.302,0.0218,32,32.3,31.35,"Cash, Cash, Cash, Cash","Common Stock, Option, Common Stock, Option",11,1.5,2.4,4.6,0
18.10.2016,3019762040,Getinge AB-Patient &,Shareholders,No,No,No,Not Appl.,Yes,Yes,Acquisition,0,100,0,0,100,100,No,No,No,No,No,No,No,0,1567.242,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Sweden,SW,Sweden,SW,Sub.,Priv.,736.156,1560.732,760.055,2.9,956.768,107.903,44.8,32.7,491.8,1531.9,205.986,1.8,491.765,0.1199,,,,Ordinary Share,Ord. Share Class B,14,0.75,1.6,4.8,0
12.05.2023,4077761040,Olympus Corp,Olympus Corp,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,4.4,4.4,No,Yes,No,No,No,No,No,0,743.272,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,743.272,14083.655,16447.077,,6036.204,1055.989,616.1,381.5,5540.9,10832,1483.288,4.5,5540.891,0.2995,17.697,17.89,18.207,Cash Only,Ordinary Share,21.7,5.33,2.9,7.5,0
29.08.2019,3446772040,Olympus Corp,Olympus Corp,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,5.1,5.1,No,Yes,No,No,No,No,No,0,757.283,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,757.283,15359.226,14748.778,10.98,7371.439,804.488,449,309.6,3997.1,8698,1377.142,2.9,3985.692,0.567,11.13,11.718,11.227,"Cash Only, Cash Only",Ordinary Share,13.8,1.75,2.3,4.6,0
08.04.2021,3723737040,Mobidiag Oy,Hologic Inc,No,No,No,Friendly,No,No,Acq. of Assets,89.82,10.18,0,0,100,100,No,No,No,No,Yes,No,Yes,0,792.916,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,Finland,FN,Priv.,Public,792.916,,,,38.298,5.085,-6.4,-6.4,-51.8,82.5,12.091,,-51.788,,,,,"Cash, Liabilities","Assets, Assets",17.2,0.25,5.7,3.9,0
28.05.2024,4240056020,Atrion Corp,Nordson Corp,No,No,No,Friendly,No,No,Merger,100,0,0,0,100,100,No,No,No,No,Yes,Yes,No,0,799.684,Chemicals,Healthcare Equipment & Supplies,Materials,Healthcare,United States,US,United States,US,Public,Public,809.579,799.705,809.6,460,176.667,21.251,21.6,18.7,241.9,258.6,36.798,137.5,241.923,10.6312,462.93,451.25,423.29,Cash Only,Common Stock,15.5,4.5,2.8,7,0
04.06.2019,3415811040,Global Cord Blood Corp,Cordlife Group Ltd,No,No,No,Unsolic.,Yes,No,Merger,0,0,100,0,100,100,No,No,No,No,No,No,No,1,236.294,Healthcare Providers & Services (HMOs),Healthcare Equipment & Supplies,Healthcare,Healthcare,Singapore,SG,Hong Kong,HK,Public,Public,822.67,236.144,822.148,6.77,125.709,48.622,45.4,37.1,436.1,828.8,55.293,3.6,435.358,0.3058,6.29,6.43,6.71,Newly Issued Ord Sh,Ordinary Share,13.8,1.75,2.3,4.6,0
30.12.2016,3056510040,China Cord Blood Corp,Nanjing Ying Peng Hui Kang,No,No,Yes,Friendly,Yes,No,Acq. Maj. Int.,100,0,0,0,65.4,65.4,No,No,No,No,No,No,No,0,828.932,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,Hong Kong,HK,Public,Priv.,828.932,954.205,1267.356,,98.382,28.41,20,13.1,252.3,698.1,,3.4,251.579,0.1796,5.47,6.34,4.83,"Cash Only, Cash Only",Ordinary Share,14,0.75,1.6,4.8,0
03.04.2024,4221911020,RadNet Inc,RadNet Inc,No,No,No,Friendly,No,No,Exchange Offer,0,100,0,0,,,No,No,No,No,No,No,No,0,875,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,United States,US,Public,Public,875,,,,1657.773,101.538,55.5,50,1077.3,2969.6,291.096,11.8,872.955,0.3718,48,48.49,48.5,Loan,Loan,15.5,4.5,2.8,7,0
23.02.2016,2923022020,Newport Corp,MKS Instruments Inc,No,No,No,Friendly,No,No,Merger,100,0,0,0,100,100,No,No,No,No,Yes,Yes,Yes,0,924.13,Other Industrials,Healthcare Equipment & Supplies,Industrials,Healthcare,United States,US,United States,US,Public,Public,888.44,924.085,888.395,23,602.691,48.477,43.1,31.1,367.5,562.7,76.832,9.5,367.513,0.7814,15.04,14.87,14.55,"Cash Only, Cash Only",Common Stock,14,0.75,1.6,4.8,0
